Дата,Название,Ссылка,Краткое содержание
2022-02-01,Эволюция UI-тестов в iOS-приложении,https://habr.com/ru/company/yandex/blog/648723/,"Test-driven development — по-прежнему спорная тема. Часто встречается обоснованное, в общем-то, мнение, что такая разработка нужна только большим компаниям, потому что только у них достаточно ресурсов"
2022-01-27,Анатомия асинхронных фреймворков в С++ и других языках,https://habr.com/ru/company/yandex/blog/647853/,"Привет! В этой статье я расскажу об устройстве асинхронных движков с корутинами и без них. Для начала сосредоточимся не на конкретном движке, а на том, почему во всех популярных языках программировани"
2022-01-20,Диагностика виртуальной сети в Linux. BPFTrace и skbtrace в опенсорсе,https://habr.com/ru/company/yandex/blog/646297/,"Привет! Меня зовут Сергей Кляус, и я как разработчик виртуальной сети сопровождаю создателей приложений, размещённых в Yandex.Cloud. При этом диагностические возможности самого облака ограничены: мы н"
2021-12-28,Кодогенерация DTO: зачем она нужна и как её настроить,https://habr.com/ru/company/yandex/blog/598125/,"Data Transfer Object — модель данных, которые мы передаём из одного слоя приложения в другой. В Яндекс Go мы активно используем DTO. Предположим, нужно отобразить в UI приложения для вызова такси эксп"
2021-12-23,Коля и его истории про фулфилмент,https://habr.com/ru/company/yandex/blog/597129/,"Фулфилмент — весь путь вещи, заказанной вами в интернете, до порога вашего дома. Он начинается где-то на далёком складе: вещь нужно найти, собрать и упаковать. Этот этап не всегда простой, он гораздо "
2021-12-21,Как работает цикл заказа такси в Яндекс Go. История вопроса,https://habr.com/ru/company/yandex/blog/596681/,"Меня зовут Илья, я отвечаю за инфраструктуру пользовательских продуктов в Яндекс Go. Мы строим цикл заказа такси — процессы, происходящие под капотом после того, как пользователь нажимает «Заказать». "
2021-12-17,Агрегация ответов в краудсорсинге. Пример с открытой библиотекой Яндекса,https://habr.com/ru/company/yandex/blog/594057/,"Краудсорсинг позволяет размечать данные для разных задач, но популярнее всего, конечно, задачи классификации объектов — текстов и картинок. Обычно в краудсорсинге несколько человек размечают каждый об"
2021-12-14,Ускоряем панораму машины в приложении Авто.ру,https://habr.com/ru/company/yandex/blog/595135/,"В приложении Авто.ру есть такая фича — панорамы автомобилей. Она позволяет любому сделать 3D-фото своей машины, показать её во всей красе. Как это работает и как нашим коллегам из ML удалось уместить "
2021-12-08,Шёпот и эмоции в Алисе: история развития голосового синтеза Яндекса,https://habr.com/ru/company/yandex/blog/593681/,"Четыре года назад мы запустили Алису. С самого начала она обладала собственным, узнаваемым голосом. Хотя проблемы тоже были: интонации хромали, эмоции скакали от слова к слову, а омонимы и вовсе стави"
2021-12-02,Собеседования в Яндекс: взгляд бэкендера,https://habr.com/ru/company/yandex/blog/592903/,"Меня зовут Максим Бабенко, и, может быть, вы знаете меня как преподавателя ШАДа (или как автора рассказа про технологию YT на Хабре). 

Мне кажется, почти каждый читатель Хабра либо знаком с теми, кт"
2021-11-30,Руководство разработкой: beginner's survival guide,https://habr.com/ru/company/yandex/blog/592433/,"Привет! Меня зовут Наташа, я руковожу разработкой бэкенда страницы yandex.ru. Сейчас у нас в команде больше двадцати человек, которые входят в отдельные группы разработки. Три года назад я впервые ста"
2021-11-25,Встречаем ровер третьего поколения: история создания робота-курьера Яндекса,https://habr.com/ru/company/yandex/blog/590997/,"Встречайте! Мы выпустили на улицу роботов третьего поколения — модель R3 уже можно встретить в Москве, Иннополисе и США. До конца года мы планируем произвести больше сотни таких роботов, и в дальнейше"
2021-11-23,Модульность и DI в современном Android-приложении. Большой туториал от Яндекса,https://habr.com/ru/company/yandex/blog/584756/,"Всем привет! Я Денис Загаевский из Android-разработки Яндекс.Карт. Если вы развиваете многомодульное приложение или хотите разбить на части пока ещё одномодульное, этот туториал для вас. 
Под катом ра"
2021-11-17,Как Яндекс делает обычные автомобили беспилотными,https://habr.com/ru/company/yandex/blog/585444/,"Привет, меня зовут Антон Чистяков. Пару лет назад я работал в хелпдеске Яндекса и даже писал здесь про то, как мы придумали вендомат с аксессуарами. Теперь отвечаю за сборку беспилотных автомобилей и "
2021-11-16,Суперкомпьютеры Яндекса: взгляд изнутри,https://habr.com/ru/company/yandex/blog/589363/,"Недавно три наших новых GPU-кластера заняли 19, 36 и 40 места в рейтинге суперкомпьютеров Top500. Это лучшие результаты среди всех участвующих в нём суперкомпьютеров России. Но сегодня мы поговорим не"
2021-11-10,"Нейросеть, способная объяснить себе задачу: P-tuning для YaLM",https://habr.com/ru/company/yandex/blog/588214/,"Мы уже рассказывали о том, как применили семейство генеративных нейросетей YaLM для подготовки ответов в Поиске, Алисе или даже в Балабобе. Главная особенность наших моделей — метод few-shot learning,"
2021-11-02,Извлекаем суть новости. Опыт Яндекса,https://habr.com/ru/company/yandex/blog/586634/,"Привет! Меня зовут Илья Гусев, я занимаюсь машинным обучением в команде Яндекс.Новостей. У каждого новостного сюжета на сервисе есть своя страница, где собраны новости об одном и том же событии из раз"
2021-10-28,Кто крешит приложение на старте?,https://habr.com/ru/company/yandex/blog/585376/,"Привет! Меня зовут Александр Денисов, я из команды мобильного Яндекс.Браузера в Санкт-Петербурге. В этом посте расскажу вам, как мы справляемся с циклическими крешами на старте.
Каждый разработчик зна"
2021-10-19,Новая Яндекс.Станция Мини. Большая история маленького устройства,https://habr.com/ru/company/yandex/blog/584214/,"На днях в продажу поступила обновлённая версия одного из самых популярных устройств с Алисой — Станции Мини. Может показаться, что это эволюционное развитие, работать над которым было проще, чем созда"
2021-10-14,Стажёр Вася и его опыт разработки нового API,https://habr.com/ru/company/yandex/blog/583332/,"Легко ли разработать новый API? На что обратить внимание, чтобы не ошибиться при реализации, и к каким компромиссам стоит быть готовым?
Привет, Хабр! Меня зовут Иван Ивашковский. Я руковожу группой ра"
2021-10-12,Как менялись правила онлайн-продажи лекарств и почему аптекам по-прежнему сложно,https://habr.com/ru/company/yandex/blog/581776/,"В начале осени вступили в силу обновлённые правила онлайн-продажи лекарств с доставкой. Возможность продавать теперь есть не только у крупных аптечных сетей, но и у одиночных аптек — они смогут выйти "
2021-10-05,С++23 — feature freeze близко,https://habr.com/ru/company/yandex/blog/580880/,"Прошло четыре месяца с прошлой онлайн-встречи ISO-комитета, а значит, настало время собраться опять.



В этот раз в черновик нового стандарта C++23 добавили весьма полезные и вкусные новинки:


oper"
2021-10-01,"Путь, который занял 100* лет: встречаем CatBoost 1.0.0",https://habr.com/ru/company/yandex/blog/580950/,"Всем привет. Меня зовут Станислав Кириллов, я работаю в команде, которая отвечает за развитие библиотеки машинного обучения CatBoost. Мы впервые поделились ей с сообществом четыре года назад — хотя мы"
2021-09-30,Как запустить 100+ компиляторов и выстоять. Опыт Яндекс.Контеста,https://habr.com/ru/company/yandex/blog/580700/,"Привет, это снова Павел Тыквин, разработчик Яндекс.Контеста. Контест больше всего известен как площадка для соревнований по программированию: прямо сейчас идёт квалификационный этап чемпионата Yandex "
2021-09-29,Техподдержка без бюрократии: автоматизации под капотом ServiceDesk Яндекса,https://habr.com/ru/company/yandex/blog/580588/,"Привет! Меня зовут Арвидас Гафиулин, я руководитель отдела эксплуатации и развития ИТ-инфраструктуры в Яндексе. Важнейшее направление работы отдела — наша внутренняя служба поддержки, ServiceDesk. Име"
2021-09-28,YARL: как Яндекс построил распределённый Rate Limiter с нулевым влиянием на время ответа сервисов,https://habr.com/ru/company/yandex/blog/579778/,"Yandex Rate Limiter (далее просто YARL) — это сервис лимитирования нагрузки для распределённых сервисов. Его особенность в том, что он способен работать с миллионами квот, имея при этом очень низкие н"
2021-09-24,Говорит и показывает Yandex Scale 2021: текстовая трансляция и видео,https://habr.com/ru/company/yandex/blog/579402/,"Сегодня смотрим и читаем Yandex Scale 2021 — онлайн-конференцию про облачные технологии: инфраструктурные и платформенные, нативные и основанные на машинном обучении. И, конечно, про безопасность. Каж"
2021-09-21,Асинхронность в С++20. Доклад в Яндексе,https://habr.com/ru/company/yandex/blog/575062/,"Привет, это Григорий Демченко из WhatsApp. Мой доклад посвящён использованию сопрограмм в C++20. Я не стал говорить про низкоуровневые примитивы и то, как компилятор поддерживает сопрограммы и преобра"
2021-09-13,Зачем С++ в Такси? Доклад Яндекса,https://habr.com/ru/company/yandex/blog/571408/,"Бэкенд первой версии Яндекс.Такси, которая вышла в 2011 году, был написан на Python. Мы довольно долго не меняли основной язык, но постепенно пришли к идее о необходимости С++ в стеке технологий. Пере"
2021-09-09,Ботнет Mēris: расследуем крупнейшую DDoS-атаку в истории интернета,https://habr.com/ru/company/yandex/blog/577026/,"На днях в СМИ появилась информация о DDoS-атаке на Яндекс. Это правда, но не вся. Нашим специалистам действительно удалось отразить рекордную атаку более чем в 20 млн RPS — это самая крупная атака из "
2021-09-07,"Как Яндекс помогает преодолеть языковой барьер: нейросетевой перевод видео, картинок и текста",https://habr.com/ru/company/yandex/blog/576438/,"Недавно мы впервые показали прототип переводчика видео в Яндекс.Браузере. Прототип работал с ограниченным числом роликов, но даже в таком виде вызвал интерес у пользователей. Теперь мы переходим к сле"
2021-09-06,Многопоточность и Kotlin в Яндекс.Картах: как не допустить падения новых фич на iOS,https://habr.com/ru/company/yandex/blog/575846/,"Привет! Меня зовут Женя Васильев, я делаю Яндекс.Карты под Android. А с появлением у нас Kotlin Multiplatform — так уж получилось, ещё и под iOS. 

Kotlin Multiplatform позволяет писать код, который "
2021-09-01,Использование STL для обработки сигналов в реальном времени. Доклад в Яндексе,https://habr.com/ru/company/yandex/blog/575124/,"Компьютерные игры, обработка аудиосигналов в режиме реального времени и другие подобные приложения низкой задержки требуют, чтобы код был не только корректным. Он также должен исчислять требуемый резу"
2021-08-26,DeDLOC: обучаем большие нейросети всем миром,https://habr.com/ru/company/yandex/blog/574466/,"Как показывает опыт последних лет, самые интересные результаты в deep learning получаются при использовании больших нейросетей, обученных на массивах неразмеченных данных. Правда, для создания этих мо"
2021-08-25,Как можно оптимизировать dot-product и не только. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/574232/,Разработчик инфраструктуры качества поиска Яндекса Ильнур Хузиев ilnurKh взял простую задачу — скалярное произведение двух векторов — и попробовал выжать все соки производительности кода. Из доклада в
2021-08-19,C++ zero-cost abstractions на примере хеш-таблиц в ClickHouse. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/572588/,"Хеш-таблицы — это королевы структур данных. Нигде не сломано так много копий, как на оптимизации хеш-таблиц. В докладе я рассказал ещё об одной хеш-таблице, которая используется в ClickHouse. Вы увиди"
2021-08-17,V8 в бэкенде С++: от одного JS-скрипта до фреймворка онлайн-вычислений,https://habr.com/ru/company/yandex/blog/572880/,"В этой статье я расскажу о долгом путешествии, в котором простая идея выноса в JavaScript часто меняющихся фрагментов алгоритма постепенно выросла в универсальный фреймворк, позволяющий быстро создава"
2021-08-09,Развитие инфраструктуры Погоды. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/565234/,"Что делать, если у вас завелись микросервисы, API стало слишком сложно пользоваться и на фронте все чаще мелькает undefined is not a function? На примере Яндекс.Погоды я показал, как мы эволюционирова"
2021-08-05,"Тернистая история Лисп-машин: первый бум AI, война Столлмана и удивительный интерфейс",https://habr.com/ru/company/yandex/blog/519922/,"Привет! Меня зовут Павел Анохин, я сооснователь и один из кураторов музея Яндекса. Хочу поделиться историей, связанной с нашим экспонатом — редкой платой с Лисп-процессором Symbolics. История эта уход"
2021-08-03,Приёмы ускорения кода на JS и других языках: подборка от разработчика поиска Яндекса,https://habr.com/ru/company/yandex/blog/570914/,"Привет! Меня зовут Виктор Хомяков, в Яндексе я работаю над скоростью страниц поиска. Однажды мне в голову пришла идея обобщить свой опыт и систематизировать приёмы ускорения работы кода на JavaScript."
2021-07-28,Неправильный путь в backend driven UI. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/569962/,Архитектура современных приложений часто позволяет передавать логику между клиентом и бэкендом. Главное — не зайти в этих экспериментах слишком далеко. Разработчик iOS-приложения Авто.ру Сергей Сергее
2021-07-22,"Яндекс открывает датасеты Беспилотных автомобилей, Погоды и Переводчика, чтобы помочь решить проблему сдвига данных в ML",https://habr.com/ru/company/yandex/blog/568672/,"В рамках конкурса Shifts Challenge мы выкладываем в открытый доступ крупнейший в мире датасет для обучения беспилотных автомобилей, а также данные Яндекс.Переводчика и Погоды. Приглашаем исследователе"
2021-07-21,Автоматизация UI-тестирования в приложении Недвижимости на Android. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/568800/,"Чем больше процессов тестирования автоматизированы, тем эффективнее релизный пайплайн и тем быстрее пользователи получают новые возможности в сервисе. Руководитель Android-разработки Яндекс.Недвижимос"
2021-07-15,Разработка и эксплуатация ядра Linux в нашей инфраструктуре. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/567134/,Внутреннее облако Яндекса состоит из сотен тысяч серверов в нескольких дата-центрах России и Европы. Все эти серверы работают под управлением ядра Linux. Из доклада старшего разработчика Дмитрия Монах
2021-07-12,"Встречаем Meteum 2.0 — первую технологию метеопрогноза, алгоритмы которой обучаются на сообщениях пользователей",https://habr.com/ru/company/yandex/blog/565238/,[X] - ошибка парсинга 'NoneType' object has no attribute 'get_text'
2021-07-10,Сборка и тестирование в монорепозитории: кластер распределённой сборки DistBuild. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/565568/,"Как собирать 7000 изменений в день в огромном монорепозитории? Я постарался рассказать об этом на недавнем Я.Субботнике. Во вводной части я напомнил, чем мы в принципе занимаемся в отделе технологий р"
2021-07-08,Как и для чего мы два раза переезжали на GraphQL — опыт Яндекс.Афиши,https://habr.com/ru/company/yandex/blog/566700/,"Привет! Сегодня мы поговорим с вами о том, как эволюционировала архитектура Яндекс.Афиши, а именно — как и почему мы перешли от REST на GraphQL к Node.js + Python, а потом в целях оптимизации избавили"
2021-07-06,Как мы ускоряли ввод текста на смартфоне: динамическая сетка в Яндекс.Клавиатуре,https://habr.com/ru/company/yandex/blog/566356/,"Нельзя быть полностью довольным своей клавиатурой. Кажется, абсолютное большинство людей недолюбливает этот инструмент и мечтает печатать быстрее. Особенно достаётся клавиатурам мобильных устройств: в"
2021-07-01,Мультиарендный подход к инфраструктуре работы с данными. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/564854/,"Времена, когда для экземпляра базы данных выделялся отдельный компьютер, давно прошли. Сейчас повсюду управляемые решения, поднимающие необходимые процессы в виртуальных машинах. Для вычислений примен"
2021-06-24,Как проходят архитектурные секции собеседования в Яндексе: практика дизайна распределённых систем,https://habr.com/ru/company/yandex/blog/564132/,"Привет, меня зовут Костя Кардаманов, я работаю в отделе технологий разработки Яндекса. Обычно такой же фразой я приветствую и кандидатов на собеседовании. А сегодня я хотел бы рассказать вам, как и за"
2021-06-23,Разработка платформы управления данными. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/557060/,"Яндекс Go разрабатывает платформу управления данными (DMP) как сервис для офлайн- и near real-time-обработки данных. Я постарался рассказать, какая мотивация нужна для создания собственного ETL-инстру"
2021-06-15,<img>. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/559442/,"«Просто добавь картинку на сайт», — говорили они. А оказалось, что «просто» не значит «правильно». В докладе я постарался разобраться, как эффективно добавлять изображения на страницу, какие форматы г"
2021-06-10,Как Яндекс применил генеративные нейросети для поиска ответов,https://habr.com/ru/company/yandex/blog/561924/,Только что мы представили новую версию поиска Y1. Она включает в себя комплекс технологических изменений. В том числе улучшения в ранжировании за счёт более глубокого применения трансформеров. Подробн
2021-06-08,С++23 WIP: онлайн-встреча международного комитета по C++,https://habr.com/ru/company/yandex/blog/561104/,"Вчера прошла встреча рабочей группы ISO C++, добавляли фичи в C++23, исправляли C++20. Мы участвуем в работе комитета, поэтому сегодня поделюсь с вами свежими новостями о развитии стандарта. 



Долж"
2021-06-04,Тернистый путь внедрения Swift Package Manager. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/559938/,"Доклад будет интересен iOS-разработчикам, которые хотят внедрить технологию Swift Package Manager (SPM) в существующий проект. Руководитель iOS-разработки Яндекс Go Вадим Белотицкий рассказал о причин"
2021-06-01,"Пишем переиспользуемые компоненты, соблюдая SOLID",https://habr.com/ru/company/yandex/blog/560194/,"Всем привет! Меня зовут Рома, я — фронтендер в Я.Учебнике. Сегодня расскажу, как избежать дублирования кода и писать качественные переиспользуемые компоненты. Статья написана по мотивам (но только по "
2021-05-26,Как мы внедрили свою модель хранения данных — highly Normalized hybrid Model. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/557140/,"Общепринятый и проверенный временем подход к построению Data Warehouse (DWH) — это схема «Звезда» или «Снежинка». Такой подход каноничен, фундаментален, вотрфоллен и совсем не отвечает той гибкости, к"
2021-05-21,Опыт пяти стажировок: советы начинающим,https://habr.com/ru/company/yandex/blog/558274/,[X] - ошибка парсинга 'NoneType' object has no attribute 'get_text'
2021-05-18,Трасси… что? Доклад Яндекса,https://habr.com/ru/company/yandex/blog/556510/,"Отладка приложения занимает бо́льшую часть нашего времени. Кто-то пользуется DevTools, кто-то обходится обычным console.log, кто-то использует профайлеры. Зачастую этих инструментов более чем достаточ"
2021-05-14,"SIRR, не соизволите ли удалить отражение?",https://habr.com/ru/company/yandex/blog/557158/,"Привет! Меня зовут Артём, я учусь на совместной кафедре анализа данных Яндекса и Физтеха. Хочу поделиться с ML-сообществом Хабра темой, тесно связанной с моей научной работой: «Удаление отражений с по"
2021-05-07,Микрофронтенды и виджеты в 2021-м. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/554568/,"Давайте поговорим о микрофронтендах и о встраиваемых виджетах, которые, по сути, были предшественниками концепции микрофронтендов. В докладе я рассказал о способах встраивать виджеты на страницу, об и"
2021-05-03,Продвинутые дженерики в TypeScript. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/555520/,"Дженерики, или параметризованные типы, позволяют писать более гибкие функции и интерфейсы. Чтобы зайти дальше, чем параметризация одним типом, нужно понять лишь несколько общих принципов составления д"
2021-04-28,Как и зачем мы создаём собственную курьерскую платформу,https://habr.com/ru/company/yandex/blog/554806/,"Всем привет, меня зовут Алексей Остриков, я руковожу разработкой в Яндекс.Маркете. Когда-то я много-много писал код, затем полтора года руководил группой бэкенда одного из сервисов Маркета, а сейчас о"
2021-04-26,Все магистерские программы в партнёрстве с Яндексом: чему можно научиться и как поступить,https://habr.com/ru/company/yandex/blog/553702/,"Это снова я, Стас Федотов, руководитель Школы анализа данных в Москве. У Яндекса много проектов в сфере образования: мы запускаем программы для школьников и студентов, организовываем профессиональные "
2021-04-23,"Как померить Node.js-приложение, если у тебя лапки. Доклад Яндекса",https://habr.com/ru/company/yandex/blog/553030/,"Неважно, каких размеров ваше приложение на Node.js. Неважно, как хорошо вы написали код. Вам просто необходимо знать, как он работает в продакшене. Разработчик интерфейсов в поисковом портале Яндекса "
2021-04-17,Автоматизируем сервис-воркер с Workbox 6. Доклад в Яндексе,https://habr.com/ru/company/yandex/blog/551796/,"«Задеплоил сервис-воркер — нужно покупать новый домен», — известная шутка о том, как сложно писать собственную логику кеширования. С приходом шестой версии библиотеки Workbox для прогрессивных веб-при"
2021-04-15,"«Уже сегодня это на нас влияет, а завтра повлияет очень сильно». Разговор о квантовых технологиях с Алексеем Фёдоровым",https://habr.com/ru/company/yandex/blog/552326/,"Технологии, основанные на квантовых эффектах, обладают интересной двойственностью: с одной стороны, они давно стали реальностью (достаточно вспомнить о транзисторах и лазерах) и продолжают активно раз"
2021-04-14,Задачи и разборы экзамена ШАД. Часть вторая — с визуальными приёмами,https://habr.com/ru/company/yandex/blog/552258/,"Набор в ШАД продолжается, а тем временем мы с Егором Хайруллиным Mikari разобрали ещё несколько задач из письменного экзамена 2019 года (первая часть — здесь). Сначала пробуйте свои силы и постарайтес"
